,learning_rate,n_estimators,max_depth,subsample,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy
77,0.11,100,5,0.7,,,,,1.605263157894737,0.8226727763480007
78,0.11,100,5,0.8,,,,,1.605263157894737,0.8316427091833531
79,0.11,100,5,0.9,,,,,1.605263157894737,0.8327788588286987
80,0.11,100,6,0.5,,,,,1.605263157894737,0.8260372857949909
81,0.11,100,6,0.6,,,,,1.605263157894737,0.8316615403929446
82,0.11,100,6,0.7,,,,,1.605263157894737,0.8260498399347185
83,0.11,100,6,0.8,,,,,1.605263157894737,0.8293955181721172
84,0.11,100,6,0.9,,,,,1.605263157894737,0.8305316678174628
85,0.11,100,7,0.5,,,,,1.605263157894737,0.8316615403929446
86,0.11,100,7,0.6,,,,,1.605263157894737,0.818203502604984
87,0.11,100,7,0.7,,,,,1.605263157894737,0.8271671583704727
88,0.11,100,7,0.8,,,,,1.605263157894737,0.8238089259933463
89,0.11,100,7,0.9,,,,,1.605263157894737,0.8282844768062269
90,0.12,50,5,0.5,,,,,1.605263157894737,0.8294143493817087
91,0.12,50,5,0.6,,,,,1.605263157894737,0.8181846713953926
92,0.12,50,5,0.7,,,,,1.605263157894737,0.8249011361496453
93,0.12,50,5,0.8,,,,,1.605263157894737,0.8305316678174628
94,0.12,50,5,0.9,,,,,1.605263157894737,0.829401795241981
95,0.12,50,6,0.5,,,,,1.605263157894737,0.8338899001945892
96,0.12,50,6,0.6,,,,,1.605263157894737,0.8271734354403365
97,0.12,50,6,0.7,,,,,1.605263157894737,0.8305316678174628
98,0.12,50,6,0.8,,,,,1.605263157894737,0.8305316678174628
99,0.12,50,6,0.9,,,,,1.605263157894737,0.827154604230745
100,0.12,50,7,0.5,,,,,1.605263157894737,0.831648986253217
101,0.12,50,7,0.6,,,,,1.605263157894737,0.8260498399347185
102,0.12,50,7,0.7,,,,,1.605263157894737,0.8260372857949909
103,0.12,50,7,0.8,,,,,1.605263157894737,0.8361496453455527
104,0.12,50,7,0.9,,,,,1.605263157894737,0.8305504990270541
105,0.12,100,5,0.5,,,,,1.605263157894737,0.8260435628648547
106,0.12,100,5,0.6,,,,,1.605263157894737,0.8226539451384094
107,0.12,100,5,0.7,,,,,1.605263157894737,0.8260372857949909
108,0.12,100,5,0.8,,,,,1.605263157894737,0.8294080723118449
109,0.12,100,5,0.9,,,,,1.605263157894737,0.8294080723118449
110,0.12,100,6,0.5,,,,,1.605263157894737,0.8271608813006088
111,0.12,100,6,0.6,,,,,1.605263157894737,0.8271671583704726
112,0.12,100,6,0.7,,,,,1.605263157894737,0.8260435628648547
113,0.12,100,6,0.8,,,,,1.605263157894737,0.8249199673592367
114,0.12,100,6,0.9,,,,,1.605263157894737,0.8282970309459544
115,0.12,100,7,0.5,,,,,1.605263157894737,0.8294269035214362
116,0.12,100,7,0.6,,,,,1.605263157894737,0.8226916075575921
117,0.12,100,7,0.7,,,,,1.605263157894737,0.8271734354403365
118,0.12,100,7,0.8,,,,,1.605263157894737,0.8226727763480007
119,0.12,100,7,0.9,,,,,1.605263157894737,0.8181909484652564
120,0.13,50,5,0.5,,,,,1.605263157894737,0.829401795241981
121,0.13,50,5,0.6,,,,,1.605263157894737,0.8204318624066286
122,0.13,50,5,0.7,,,,,1.605263157894737,0.8305316678174628
123,0.13,50,5,0.8,,,,,1.605263157894737,0.8361433682756889
124,0.13,50,5,0.9,,,,,1.605263157894737,0.8226602222082732
125,0.13,50,6,0.5,,,,,1.605263157894737,0.8350009415604795
126,0.13,50,6,0.6,,,,,1.605263157894737,0.8260561170045823
