,learning_rate,n_estimators,max_depth,subsample,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy
36,0.1,100,7,0.5,1.025,0.025,0,1,1.605263157894737,0.8395078777226791
37,0.1,100,7,0.5,1.025,0.025,0,1.05,1.605263157894737,0.8361496453455527
38,0.1,100,7,0.5,1.025,0.025,0,1.1,1.605263157894737,0.8316740945326722
39,0.1,100,7,0.5,1.025,0.025,0.025,1,1.605263157894737,0.8271608813006088
40,0.1,100,7,0.5,1.025,0.025,0.025,1.05,1.605263157894737,0.8316740945326722
41,0.1,100,7,0.5,1.025,0.025,0.025,1.1,1.605263157894737,0.8271859895800641
42,0.1,100,7,0.5,1.025,0.025,0.05,1,1.605263157894737,0.8339212855439081
43,0.1,100,7,0.5,1.025,0.025,0.05,1.05,1.605263157894737,0.8327914129684264
44,0.1,100,7,0.5,1.025,0.025,0.05,1.1,1.605263157894737,0.8226853304877283
45,0.1,100,7,0.5,1.025,0.05,0,1,1.605263157894737,0.8372732408511707
46,0.1,100,7,0.5,1.025,0.05,0,1.05,1.605263157894737,0.8339024543343168
47,0.1,100,7,0.5,1.025,0.05,0,1.1,1.605263157894737,0.8316615403929446
48,0.1,100,7,0.5,1.025,0.05,0.025,1,1.605263157894737,0.8305316678174628
49,0.1,100,7,0.5,1.025,0.05,0.025,1.05,1.605263157894737,0.8294206264515724
50,0.1,100,7,0.5,1.025,0.05,0.025,1.1,1.605263157894737,0.8350260498399348
51,0.1,100,7,0.5,1.025,0.05,0.05,1,1.605263157894737,0.8372857949908983
52,0.1,100,7,0.5,1.025,0.05,0.05,1.05,1.605263157894737,0.8327976900382902
53,0.1,100,7,0.5,1.025,0.05,0.05,1.1,1.605263157894737,0.8327851358985625
54,0.1,100,7,0.5,1.05,0,0,1,1.605263157894737,0.8383905592869249
55,0.1,100,7,0.5,1.05,0,0,1.05,1.605263157894737,0.8339024543343168
56,0.1,100,7,0.5,1.05,0,0,1.1,1.605263157894737,0.8384031134266524
57,0.1,100,7,0.5,1.05,0,0.025,1,1.605263157894737,0.8305379448873266
58,0.1,100,7,0.5,1.05,0,0.025,1.05,1.605263157894737,0.8350386039796623
59,0.1,100,7,0.5,1.05,0,0.025,1.1,1.605263157894737,0.8294269035214362
60,0.1,100,7,0.5,1.05,0,0.05,1,1.605263157894737,0.8316615403929446
61,0.1,100,7,0.5,1.05,0,0.05,1.05,1.605263157894737,0.833896177264453
62,0.1,100,7,0.5,1.05,0,0.05,1.1,1.605263157894737,0.8294206264515724
63,0.1,100,7,0.5,1.05,0.025,0,1,1.605263157894737,0.8282970309459544
64,0.1,100,7,0.5,1.05,0.025,0,1.05,1.605263157894737,0.8249262444291005
65,0.1,100,7,0.5,1.05,0.025,0,1.1,1.605263157894737,0.8271797125102003
